#                                                                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                                                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                                                       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ICE6013_orf11.txt       -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049 -            4.1e-09   30.5   1.2   4.1e-09   30.5   1.2   1.7   2   0   0   2   2   2   1 -
ICESt1_orf31.txt        -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049 -            5.4e-09   30.3   5.5   5.4e-09   30.3   5.5   1.6   1   1   0   1   1   1   1 -
Tn5253_orf18.protein.13 -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049 -            2.2e-06   20.5   4.7   2.2e-06   20.5   4.7   2.2   2   1   0   2   2   2   1 -
Sa2603_summary_45.txt   -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_30852_32049 -            1.5e-05   17.4   3.5   1.5e-05   17.4   3.5   2.4   2   1   0   2   2   2   1 -
ICE6013_orf11.txt       -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_45430_46555 -            7.1e-08   26.4   1.8   1.1e-07   25.8   1.8   1.3   1   0   0   1   1   1   1 -
Sa2603_summary_45.txt   -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_45430_46555 -            3.8e-06   19.4   0.1   4.9e-06   19.1   0.1   1.1   1   0   0   1   1   1   1 -
Tn5253_orf18.protein.13 -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_45430_46555 -              8e-06   18.6   0.2     1e-05   18.3   0.2   1.1   1   0   0   1   1   1   1 -
ICEF_III_orf15.txt   -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_53900_54899 -            2.2e-06   22.0   0.0   2.8e-06   21.7   0.0   1.1   1   0   0   1   1   1   1 -
ICEF_III_orf17.txt   -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_87270_87714 -            0.00038   14.9   0.0   0.00056   14.4   0.0   1.3   1   0   0   1   1   1   1 -
PAPI_1_orf40.txt      -          GCF_900474925.1.gbff.1.gbk_GCF_900474925.1.gbff.1.gbk_NZ_LS483334.1_101550_102489 -            3.6e-14   47.1   0.1     5e-14   46.6   0.1   1.2   1   0   0   1   1   1   1 -
