#                                                                                                                         --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                                                                     accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                                                           -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ICEM_orf8.txt        -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_15489_16023 -            8.1e-07   23.6   0.0   1.2e-06   23.0   0.0   1.2   1   0   0   1   1   1   1 -
ICEF_I_II_orf13.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_15489_16023 -             0.0043   11.8   0.0    0.0061   11.3   0.0   1.2   1   0   0   1   1   1   1 -
PAPI_1_orf34.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_20582_22262 -            7.8e-16   52.1  14.5   1.1e-15   51.7  14.5   1.1   1   0   0   1   1   1   1 -
SPI_7_orf27.txt       -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -              1e-37  124.2   0.3   1.4e-37  123.8   0.3   1.1   1   0   0   1   1   1   1 -
PAPI_1_orf37.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -            7.8e-35  114.8   0.4   1.1e-34  114.3   0.4   1.2   1   0   0   1   1   1   1 -
PAPI_1_orf40.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -            2.2e-14   47.8   0.1   3.5e-14   47.1   0.1   1.3   1   0   0   1   1   1   1 -
tripartite_orf37.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -            5.6e-12   40.0   0.2   1.1e-11   39.1   0.2   1.3   1   0   0   1   1   1   1 -
Tn4371_orf44.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -            1.7e-11   38.2   0.4   3.1e-11   37.4   0.4   1.3   1   0   0   1   1   1   1 -
tripartite_orf105.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_24249_25977 -            2.4e-10   34.4   0.0   3.8e-10   33.7   0.0   1.2   1   0   0   1   1   1   1 -
PAPI_1_orf38.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_25985_27209 -            2.3e-09   31.3   3.1   3.4e-09   30.7   3.1   1.2   1   0   0   1   1   1   1 -
tripartite_orf43.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_74557_75685 -            1.3e-08   29.3   0.0     2e-08   28.7   0.0   1.2   1   0   0   1   1   1   1 -
SPI_7_orf27.txt       -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -              5e-24   79.0   0.0     7e-24   78.6   0.0   1.1   1   0   0   1   1   1   1 -
PAPI_1_orf37.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            6.7e-20   65.5   0.0   7.5e-20   65.4   0.0   1.1   1   0   0   1   1   1   1 -
PAPI_1_orf40.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            1.3e-15   51.8   0.0   1.4e-15   51.7   0.0   1.1   1   0   0   1   1   1   1 -
tripartite_orf37.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            3.4e-13   44.0   0.0   6.1e-13   43.2   0.0   1.4   1   0   0   1   1   1   1 -
Tn4371_orf44.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            1.2e-09   32.1   0.1   1.6e-09   31.7   0.1   1.2   1   0   0   1   1   1   1 -
tripartite_orf105.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            8.9e-09   29.2   0.0   1.1e-08   28.9   0.0   1.1   1   0   0   1   1   1   1 -
ICEKp1_orf50.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -              1e-08   29.3   0.0   1.7e-08   28.6   0.0   1.2   1   0   0   1   1   1   1 -
ICEHin1056_orf45.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            0.00085   11.5   0.0    0.0012   11.0   0.0   1.1   1   0   0   1   1   1   1 -
ICEclc_orf61.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -            0.00085   11.6   0.0    0.0012   11.1   0.0   1.1   1   0   0   1   1   1   1 -
ICEYe1_orf57.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_84170_85208 -             0.0014   10.9   0.0    0.0024   10.2   0.0   1.3   1   1   0   1   1   1   1 -
PAPI_1_orf40.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -              8e-24   78.8   0.7   1.1e-23   78.4   0.7   1.1   1   0   0   1   1   1   1 -
SPI_7_orf27.txt       -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            3.1e-15   50.0   0.1   4.9e-15   49.3   0.1   1.3   1   1   0   1   1   1   1 -
PAPI_1_orf37.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            5.9e-14   45.9   0.1   2.1e-13   44.1   0.0   1.8   2   1   1   3   3   3   1 -
tripartite_orf37.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            7.3e-13   42.9   0.1   1.2e-12   42.2   0.1   1.3   1   0   0   1   1   1   1 -
tripartite_orf105.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            3.8e-11   37.0   0.0   5.2e-11   36.6   0.0   1.2   1   0   0   1   1   1   1 -
Tn4371_orf44.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            3.4e-10   33.9   0.2   5.2e-10   33.3   0.2   1.2   1   0   0   1   1   1   1 -
ICEKp1_orf50.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_85222_86329 -            6.8e-07   23.3   0.0   9.7e-07   22.8   0.0   1.2   1   0   0   1   1   1   1 -
CTnDOT_ERL_orf18.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_145256_147020 -            0.00023   15.0   0.0     0.012    9.4   0.0   2.4   2   0   0   2   2   2   2 -
SPAP_0892.txt        -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_205441_206053 -            8.3e-07   23.6   0.0   1.5e-06   22.8   0.0   1.3   1   1   0   1   1   1   1 -
ICEclc_orf50.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_341989_344140 -            3.5e-26   86.0   0.5   6.4e-26   85.2   0.5   1.3   1   0   0   1   1   1   1 -
PAPI_1_orf114.txt    -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_341989_344140 -              6e-24   78.6   0.2     6e-24   78.6   0.2   1.6   2   0   0   2   2   2   1 -
ICEHin1056_orf62.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_341989_344140 -              2e-21   70.3   0.0   2.8e-21   69.8   0.0   1.1   1   0   0   1   1   1   1 -
ICEYe1_orf75.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_341989_344140 -            0.00069   13.2   0.0   0.00098   12.6   0.0   1.2   1   0   0   1   1   1   1 -
traD.protein.15      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -                  0 1467.1   0.0         0 1467.0   0.0   1.0   1   0   0   1   1   1   1 -
ICEYe1_orf44.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            1.4e-84  279.1   0.0     2e-80  265.3   0.0   2.0   1   1   1   2   2   2   2 -
ICEHin1056_orf35.txt -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            3.9e-82  271.1   0.2   1.9e-77  255.6   0.0   2.3   1   1   1   2   2   2   2 -
ICEclc_orf72.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            2.9e-78  258.3   0.1     3e-77  255.0   0.0   2.1   2   1   0   2   2   2   1 -
SPI_7_orf42.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            5.5e-76  250.8   0.1   7.3e-73  240.4   0.0   2.8   1   1   1   2   2   2   2 -
PAPI_1_orf72.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            2.4e-70  231.9   0.2   7.4e-59  193.9   0.0   3.4   2   1   1   3   3   3   3 -
ICEKp1_orf55.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_344188_346009 -            9.9e-12   38.6   0.1   7.7e-09   29.0   0.0   2.1   2   0   0   2   2   2   2 -
traB.protein.12      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_349792_351082 -           4.8e-305 1005.6   2.6  5.4e-305 1005.4   2.6   1.0   1   0   0   1   1   1   1 -
traA.protein.5       -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_351725_352112 -            3.5e-85  277.3  13.6   3.8e-85  277.1  13.6   1.0   1   0   0   1   1   1   1 -
traC.protein.18        -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -                  0 1930.2   0.0         0 1930.0   0.0   1.0   1   0   0   1   1   1   1 -
CTnDOT_ERL_orf9.txt    -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            5.4e-22   71.9   0.0     1e-13   44.5   0.0   2.1   2   0   0   2   2   2   2 -
Tn5253_orf17.protein.4 -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            2.8e-12   39.9   0.0   4.3e-12   39.3   0.0   1.2   1   0   0   1   1   1   1 -
SPAP_0880.txt          -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            6.7e-12   38.8   0.2   2.7e-11   36.8   0.2   1.7   1   1   0   1   1   1   1 -
ICEF_III_orf24.txt     -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            9.8e-11   34.8   0.0     3e-05   16.6   0.0   2.1   2   0   0   2   2   2   2 -
Sa2603_summary_46.txt  -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            1.8e-10   33.9   0.0   2.7e-10   33.4   0.0   1.1   1   0   0   1   1   1   1 -
ICEAPG2_orf11.txt      -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -              2e-08   27.4   0.0   0.00055   12.7   0.0   2.1   2   0   0   2   2   2   2 -
ICEF_I_II_orf18.txt    -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            3.1e-08   26.6   0.0   8.6e-07   21.8   0.0   2.2   2   0   0   2   2   2   1 -
Tn4371_orf46.txt       -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            4.2e-08   26.0   0.0   7.4e-06   18.6   0.0   2.1   2   0   0   2   2   2   2 -
SPI_7_orf52.txt        -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            2.4e-07   23.7   0.1   5.5e-05   15.9   0.0   2.1   2   0   0   2   2   2   2 -
tripartite_orf34.txt   -          GCF_000152425.1.gbff.25.gbk_GCF_000152425.1.gbff.25.gbk_NZ_DS990138.1_354878_357278 -            3.1e-07   23.4   0.0   9.8e-07   21.7   0.0   1.7   1   1   0   1   1   1   1 -
